x,y
0.7676418,0.42233622
0.9370327,0.330404
0.27408624,-0.44605267
-0.9787758,-0.20493409
-0.1917711,-0.98143965
0.86673576,0.49876755
0.9999997,-0.00070966396
0.69775456,0.45923105
0.96921337,0.24622235
-0.096043736,-0.84098965
0.02957438,0.009774232
-0.4573394,-0.060813636
-0.0075918315,0.04981537
0.5154603,0.7927326
-0.03652742,0.10509954
0.9546182,-0.29783228
-0.20085447,0.40069532
0.959531,0.2667459
0.8730809,0.33288231
0.96723616,0.2538784
-0.29534513,0.2107245
-0.14739677,-0.98907745
0.0076464675,-0.08710912
-0.052559655,0.12323533
-0.28686872,0.55253774
-0.26317275,0.96474874
0.9999999,0.00032190554
0.33606076,0.47235996
0.64413506,0.7649118
0.072684936,-0.026669266
-0.06177465,0.9429414
0.49125335,0.4999235
0.09516069,-0.75087136
-0.5138779,0.47029936
-0.8972693,-0.4414836
-0.124735504,-0.45454472
-0.50714093,-0.4852325
0.30473626,-0.86473316
-0.40209138,0.11431227
0.025438001,0.0347199
0.61862195,0.48572505
0.99688286,-0.074838966
-0.092522666,0.99571055
-0.9298364,-0.36797315
0.6322648,-0.4821888
0.9846067,0.12311117
0.6771417,0.46756905
1.551898e-05,-0.0039393827
-0.043140925,-0.11316361
0.76793736,0.014327695
0.4889483,0.49987784
0.004734752,0.06864644
-0.807758,0.37557763
0.9999991,0.0009449548
-0.002589143,-0.029280359
0.23079737,0.044828884
0.79776347,-0.40166765
0.9349689,-0.35472977
-0.9993434,0.025667679
0.75466657,-0.4302847
-0.15999465,0.6061643
0.04918258,-0.12779199
-0.49238724,-0.5147319
0.7307181,0.68267936
2.3464509e-06,-0.0015318111
-0.8752945,-0.48359025
0.027736941,-0.013416457
-0.9999766,-0.006846056
-0.5611799,-0.2797207
-0.5340401,-0.073829845
0.9999993,-0.001063785
-0.12499898,0.20269886
-0.9994643,-0.032728463
-0.5577653,-0.8299987
8.627489e-05,0.009288027
0.08799894,-0.9961206
-0.0014702177,0.022095965
-0.03138587,0.09811748
0.99994826,-0.0071911425
-0.5606304,0.19767177
0.9941776,0.10775429
-0.07213026,-0.676643
-0.9934415,0.11434155
-0.42248517,0.6193538
0.15314905,-0.3601311
-0.26268092,0.17949943
0.014667142,0.12021654
-0.787498,-0.07161109
0.005242866,0.072217576
1.816277e-06,0.001347692
-0.9981013,-0.06159344
0.1624945,-0.9867095
0.9998548,-0.012048395
0.4628814,0.0392957
-0.17164284,-0.18151002
-0.107515775,0.9942034
0.00038128454,0.019522786
